sample Nr - Plot 0	Spannung / V - Plot 0
8826	0,260469
8827	0,260646
8828	0,25997
8829	0,259986
8830	0,25997
8831	0,259583
8832	0,260614
8833	0,260356
8834	0,26063
8835	0,260501
8836	0,260356
8837	0,260614
8838	0,261161
8839	0,261451
8840	0,262289
8841	0,262901
8842	0,263191
8843	0,262933
8844	0,26427
8845	0,264125
8846	0,264141
8847	0,264898
8848	0,26493
8849	0,264769
8850	0,265188
8851	0,265043
8852	0,266235
8853	0,265558
8854	0,265204
8855	0,264946
8856	0,26485
8857	0,265526
8858	0,265091
8859	0,265381
8860	0,264286
8861	0,263996
8862	0,264173
8863	0,263175
8864	0,263593
8865	0,262965
8866	0,26245
8867	0,262241
8868	0,26187
8869	0,261838
8870	0,261854
8871	0,261
8872	0,261628
8873	0,260839
8874	0,260936
8875	0,260614
8876	0,260775
8877	0,260775
8878	0,260807
8879	0,261274
8880	0,261371
8881	0,261532
8882	0,261628
8883	0,261467
8884	0,26216
8885	0,26179
8886	0,262981
8887	0,263175
8888	0,263046
8889	0,263819
8890	0,263948
8891	0,263755
8892	0,264286
8893	0,264318
8894	0,265043
8895	0,265091
8896	0,265204
8897	0,265156
8898	0,265301
8899	0,265446
8900	0,265607
8901	0,264834
8902	0,264753
8903	0,26427
8904	0,264834
8905	0,264415
8906	0,264544
8907	0,263851
8908	0,26332
8909	0,263368
8910	0,262692
8911	0,262563
8912	0,262241
8913	0,261757
8914	0,261645
8915	0,261548
8916	0,261226
8917	0,261387
8918	0,260936
8919	0,261306
8920	0,260565
8921	0,260904
8922	0,260292
8923	0,260437
8924	0,261612
8925	0,261081
8926	0,261725
8927	0,261258
8928	0,261596
8929	0,262208
8930	0,262144
8931	0,262482
8932	0,263432
8933	0,262724
8934	0,262998
8935	0,263722
8936	0,264898
8937	0,263948
8938	0,264383
8939	0,264061
8940	0,264189
8941	0,264769
8942	0,265059
8943	0,265027
8944	0,265204
8945	0,264818
8946	0,265317
8947	0,265043
8948	0,264254
8949	0,264189
8950	0,263835
8951	0,264012
8952	0,263384
8953	0,263271
8954	0,26311
8955	0,262724
8956	0,262047
8957	0,261645
8958	0,261935
8959	0,261548
8960	0,260598
8961	0,261161
8962	0,261097
8963	0,261161
8964	0,260743
8965	0,261194
8966	0,260968
8967	0,260259
8968	0,261129
8969	0,260904
8970	0,260662
8971	0,26129
8972	0,26158
8973	0,26216
8974	0,261983
8975	0,262466
8976	0,262353
8977	0,262949
8978	0,263352
8979	0,26369
8980	0,264044
8981	0,264206
8982	0,264044
8983	0,264995
8984	0,264109
8985	0,264624
8986	0,265027
8987	0,264737
8988	0,264882
8989	0,265172
8990	0,265285
8991	0,26456
8992	0,264431
8993	0,264528
8994	0,263787
8995	0,263368
8996	0,263481
8997	0,26282
8998	0,262708
8999	0,262788
9000	0,26245
9001	0,261983
9002	0,261403
9003	0,261951
9004	0,261194
9005	0,260694
9006	0,260501
9007	0,260453
9008	0,260469
9009	0,260404
9010	0,260163
9011	0,260404
9012	0,260501
9013	0,260517
9014	0,260421
9015	0,26158
9016	0,261548
9017	0,261145
9018	0,262692
9019	0,26245
9020	0,26303
9021	0,262804
9022	0,263561
9023	0,263304
9024	0,26361
9025	0,26427
9026	0,264544
9027	0,264705
9028	0,265091
9029	0,265269
9030	0,265848
9031	0,265252
9032	0,265381
9033	0,265333
9034	0,264673
9035	0,264673
9036	0,264866
9037	0,26456
9038	0,265075
9039	0,264109
9040	0,264254
9041	0,263207
9042	0,26311
9043	0,262772
9044	0,262579
9045	0,262724
9046	0,261709
9047	0,261242
9048	0,261033
9049	0,260598
9050	0,260727
9051	0,260372
9052	0,260002
9053	0,260082
9054	0,259406
9055	0,260404
9056	0,259921
9057	0,260888
9058	0,260485
9059	0,261339
9060	0,260582
9061	0,260743
9062	0,261967
9063	0,262643
9064	0,262724
9065	0,263239
9066	0,263159
9067	0,26427
9068	0,264512
9069	0,26427
9070	0,264898
9071	0,265188
9072	0,265993
9073	0,265639
9074	0,266332
9075	0,266638
9076	0,265945
9077	0,267105
9078	0,266283
9079	0,266026
9080	0,265558
9081	0,265542
9082	0,265542
9083	0,265301
9084	0,265349
9085	0,264318
9086	0,264592
9087	0,263674
9088	0,262788
9089	0,261983
9090	0,262273
9091	0,262112
9092	0,261628
9093	0,260485
9094	0,261033
9095	0,260598
9096	0,259599
9097	0,260131
9098	0,259357
9099	0,25947
9100	0,260259
9101	0,260131
9102	0,260259
9103	0,259986
9104	0,261226
9105	0,260598
9106	0,261322
9107	0,261419
9108	0,262385
9109	0,262498
9110	0,263046
9111	0,263642
9112	0,264705
9113	0,264995
9114	0,265655
9115	0,266122
9116	0,266605
9117	0,266799
9118	0,266605
9119	0,267282
9120	0,267523
9121	0,26762
9122	0,267991
9123	0,267765
9124	0,268119
9125	0,267411
9126	0,266847
9127	0,266541
9128	0,26638
9129	0,266026
9130	0,265623
9131	0,265107
9132	0,264399
9133	0,263835
9134	0,263142
9135	0,262305
9136	0,262096
9137	0,261693
9138	0,260598
9139	0,260549
9140	0,259825
9141	0,259406
9142	0,259132
9143	0,2586
9144	0,258874
9145	0,257956
9146	0,258794
9147	0,258729
9148	0,259164
9149	0,25918
9150	0,259744
9151	0,26129
9152	0,260388
9153	0,261532
9154	0,262321
9155	0,262385
9156	0,263465
9157	0,264206
9158	0,265043
9159	0,265269
9160	0,26609
9161	0,267556
9162	0,267121
9163	0,267523
9164	0,267797
9165	0,268232
9166	0,268812
9167	0,26915
9168	0,268731
9169	0,268683
9170	0,268023
9171	0,267813
9172	0,267701
9173	0,26733
9174	0,266557
9175	0,266154
9176	0,264914
9177	0,264673
9178	0,263996
9179	0,263062
9180	0,261773
9181	0,261145
9182	0,260324
9183	0,260243
9184	0,259502
9185	0,258633
9186	0,258053
9187	0,25823
9188	0,258053
9189	0,257054
9190	0,257231
9191	0,257392
9192	0,256635
9193	0,257183
9194	0,258214
9195	0,258327
9196	0,258617
9197	0,259309
9198	0,261097
9199	0,261145
9200	0,262224
9201	0,26274
9202	0,2634
9203	0,265107
9204	0,265655
9205	0,266332
9206	0,267346
9207	0,268087
9208	0,268651
9209	0,268731
9210	0,269585
9211	0,270052
9212	0,270278
9213	0,270358
9214	0,270487
9215	0,270278
9216	0,270197
9217	0,269456
9218	0,268651
9219	0,267813
9220	0,266944
9221	0,266702
9222	0,265333
9223	0,264544
9224	0,263561
9225	0,26311
9226	0,261596
9227	0,260259
9228	0,259309
9229	0,258343
9230	0,257715
9231	0,256346
9232	0,256442
9233	0,25583
9234	0,255234
9235	0,255363
9236	0,255234
9237	0,255411
9238	0,25546
9239	0,256056
9240	0,256764
9241	0,257666
9242	0,258681
9243	0,259051
9244	0,260243
9245	0,262015
9246	0,262369
9247	0,263916
9248	0,264544
9249	0,266299
9250	0,267556
9251	0,268796
9252	0,269778
9253	0,270213
9254	0,271486
9255	0,27279
9256	0,2725
9257	0,272645
9258	0,272758
9259	0,272774
9260	0,272678
9261	0,272227
9262	0,271727
9263	0,271131
9264	0,270036
9265	0,269392
9266	0,267991
9267	0,266621
9268	0,265558
9269	0,263771
9270	0,263126
9271	0,26187
9272	0,260469
9273	0,258906
9274	0,257618
9275	0,256185
9276	0,255218
9277	0,255073
9278	0,254429
9279	0,253897
9280	0,253527
9281	0,253012
9282	0,253913
9283	0,254123
9284	0,254654
9285	0,255121
9286	0,256088
9287	0,257135
9288	0,2586
9289	0,259937
9290	0,261226
9291	0,26274
9292	0,264608
9293	0,266042
9294	0,267781
9295	0,26857
9296	0,269811
9297	0,271421
9298	0,272597
9299	0,273789
9300	0,274852
9301	0,275351
9302	0,275335
9303	0,275319
9304	0,275738
9305	0,275383
9306	0,274755
9307	0,274336
9308	0,273273
9309	0,272162
9310	0,270906
9311	0,269086
9312	0,268103
9313	0,265929
9314	0,263899
9315	0,262385
9316	0,260743
9317	0,259068
9318	0,256845
9319	0,256426
9320	0,254493
9321	0,25343
9322	0,252399
9323	0,251175
9324	0,250741
9325	0,250241
9326	0,250547
9327	0,250853
9328	0,25103
9329	0,252126
9330	0,252367
9331	0,253962
9332	0,255186
9333	0,256474
9334	0,258472
9335	0,260453
9336	0,262176
9337	0,264061
9338	0,266154
9339	0,268087
9340	0,269956
9341	0,271888
9342	0,272581
9343	0,274626
9344	0,275979
9345	0,277042
9346	0,277654
9347	0,278073
9348	0,277912
9349	0,277848
9350	0,277171
9351	0,276398
9352	0,275255
9353	0,274417
9354	0,272839
9355	0,270584
9356	0,269408
9357	0,266799
9358	0,26464
9359	0,262144
9360	0,259438
9361	0,258166
9362	0,255878
9363	0,254429
9364	0,251997
9365	0,250789
9366	0,249194
9367	0,247761
9368	0,247584
9369	0,246698
9370	0,246585
9371	0,246714
9372	0,246988
9373	0,24768
9374	0,24921
9375	0,250885
9376	0,252351
9377	0,253946
9378	0,25604
9379	0,258133
9380	0,260259
9381	0,26311
9382	0,26551
9383	0,268909
9384	0,270664
9385	0,272822
9386	0,274852
9387	0,276946
9388	0,278283
9389	0,279877
9390	0,280747
9391	0,281037
9392	0,281423
9393	0,281826
9394	0,281246
9395	0,280634
9396	0,278572
9397	0,277606
9398	0,275867
9399	0,273547
9400	0,27155
9401	0,269247
9402	0,266444
9403	0,264463
9404	0,260501
9405	0,257956
9406	0,254687
9407	0,252641
9408	0,250499
9409	0,248824
9410	0,247197
9411	0,245425
9412	0,244185
9413	0,24346
9414	0,242285
9415	0,242575
9416	0,243364
9417	0,244378
9418	0,245699
9419	0,247439
9420	0,249758
9421	0,251755
9422	0,254316
9423	0,257457
9424	0,260421
9425	0,263658
9426	0,266589
9427	0,268941
9428	0,272436
9429	0,275335
9430	0,278315
9431	0,280231
9432	0,28268
9433	0,284355
9434	0,285933
9435	0,286771
9436	0,287254
9437	0,28669
9438	0,286577
9439	0,285289
9440	0,284661
9441	0,281713
9442	0,279764
9443	0,277381
9444	0,274369
9445	0,271389
9446	0,267829
9447	0,264495
9448	0,261
9449	0,257473
9450	0,254751
9451	0,251014
9452	0,247841
9453	0,245023
9454	0,242993
9455	0,241093
9456	0,239772
9457	0,239047
9458	0,238612
9459	0,23858
9460	0,23945
9461	0,240207
9462	0,242011
9463	0,244185
9464	0,246247
9465	0,249645
9466	0,252947
9467	0,256619
9468	0,260324
9469	0,264334
9470	0,268007
9471	0,271776
9472	0,275287
9473	0,278862
9474	0,282309
9475	0,284967
9476	0,287495
9477	0,28975
9478	0,290797
9479	0,291377
9480	0,292376
9481	0,291377
9482	0,290878
9483	0,289364
9484	0,287769
9485	0,284628
9486	0,282148
9487	0,279458
9488	0,275126
9489	0,271325
9490	0,26725
9491	0,262643
9492	0,258794
9493	0,254397
9494	0,250451
9495	0,246456
9496	0,242993
9497	0,240819
9498	0,23792
9499	0,235294
9500	0,233845
9501	0,232959
9502	0,233233
9503	0,233507
9504	0,234763
9505	0,23647
9506	0,238838
9507	0,241383
9508	0,244685
9509	0,248292
9510	0,252512
9511	0,256829
9512	0,261564
9513	0,265913
9514	0,271019
9515	0,274884
9516	0,279845
9517	0,283775
9518	0,287157
9519	0,290362
9520	0,292827
9521	0,294695
9522	0,296306
9523	0,297224
9524	0,297192
9525	0,295855
9526	0,294308
9527	0,292215
9528	0,289444
9529	0,286432
9530	0,282631
9531	0,278363
9532	0,273934
9533	0,269698
9534	0,26435
9535	0,258842
9536	0,254542
9537	0,249452
9538	0,244234
9539	0,240867
9540	0,236615
9541	0,233861
9542	0,230849
9543	0,229126
9544	0,228481
9545	0,227515
9546	0,227306
9547	0,228401
9548	0,230463
9549	0,232878
9550	0,236567
9551	0,240287
9552	0,244427
9553	0,249661
9554	0,254268
9555	0,259535
9556	0,26522
9557	0,270535
9558	0,276559
9559	0,281423
9560	0,2864
9561	0,291216
9562	0,295017
9563	0,298029
9564	0,300203
9565	0,301927
9566	0,303167
9567	0,303086
9568	0,30278
9569	0,301299
9570	0,298641
9571	0,296128
9572	0,291731
9573	0,287093
9574	0,281923
9575	0,276318
9576	0,271341
9577	0,26543
9578	0,259583
9579	0,253124
9580	0,247068
9581	0,242526
9582	0,237018
9583	0,232717
9584	0,228481
9585	0,22518
9586	0,223005
9587	0,221701
9588	0,22075
9589	0,221459
9590	0,222748
9591	0,224535
9592	0,227354
9593	0,231332
9594	0,23589
9595	0,241222
9596	0,246811
9597	0,253253
9598	0,259873
9599	0,265591
9600	0,272549
9601	0,278492
9602	0,284516
9603	0,290234
9604	0,296096
9605	0,300123
9606	0,30394
9607	0,306614
9608	0,308788
9609	0,309577
9610	0,309384
9611	0,30758
9612	0,306775
9613	0,303988
9614	0,299543
9615	0,294437
9616	0,289734
9617	0,283952
9618	0,277864
9619	0,270745
9620	0,264012
9621	0,256023
9622	0,24942
9623	0,243203
9624	0,236728
9625	0,231735
9626	0,226146
9627	0,222313
9628	0,21893
9629	0,216434
9630	0,214726
9631	0,214243
9632	0,215548
9633	0,217142
9634	0,220122
9635	0,223714
9636	0,22824
9637	0,233909
9638	0,239981
9639	0,246005
9640	0,253269
9641	0,261194
9642	0,268973
9643	0,275947
9644	0,282728
9645	0,290105
9646	0,295613
9647	0,301154
9648	0,305825
9649	0,309368
9650	0,312831
9651	0,315005
9652	0,31536
9653	0,315166
